CreditScore,LoanAmount,YearsEmployed,EmploymentType,LoanApproved
691,45829,24,Self-Employed,1
532,10754,14,Salaried,0
465,41272,9,Self-Employed,0
362,23126,29,Salaried,0
534,5188,11,Salaried,0
506,18201,6,Self-Employed,0
653,21031,19,Self-Employed,1
495,10902,13,Salaried,0
755,5050,9,Salaried,1
680,18667,10,Salaried,1
694,45952,17,Self-Employed,1
616,45719,6,Salaried,0
582,26481,28,Self-Employed,0
607,26330,2,Self-Employed,0
410,30478,4,Self-Employed,0
385,24744,15,Self-Employed,0
833,46429,21,Salaried,1
749,33995,18,Self-Employed,1
753,30882,28,Salaried,1
497,22774,28,Self-Employed,0
556,34929,10,Salaried,0
841,40311,9,Self-Employed,1
336,47971,5,Self-Employed,0
544,40025,17,Self-Employed,0
697,22142,16,Self-Employed,1
370,21926,19,Self-Employed,0
725,17064,22,Self-Employed,1
525,45053,2,Self-Employed,0
710,7730,4,Self-Employed,1
483,23461,12,Self-Employed,0
625,26194,1,Salaried,0
825,6114,21,Salaried,1
761,34540,24,Salaried,1
437,48766,21,Salaried,0
463,43543,25,Salaried,0
613,48443,1,Self-Employed,0
637,25659,6,Self-Employed,0
380,49409,14,Salaried,0
663,17977,13,Self-Employed,1
652,15046,17,Salaried,1
443,8720,11,Salaried,0
403,7529,15,Salaried,0
306,41670,3,Self-Employed,0
313,32282,14,Self-Employed,0
654,9152,2,Salaried,0
842,33534,1,Self-Employed,0
804,11177,22,Self-Employed,1
678,46306,5,Self-Employed,1
337,48202,7,Self-Employed,0
425,29674,28,Self-Employed,0
818,43685,25,Salaried,1
582,19513,20,Salaried,0
833,13862,22,Self-Employed,1
452,16534,2,Salaried,0
536,13998,11,Self-Employed,0
689,37383,17,Salaried,1
386,15145,18,Salaried,0
352,35249,3,Salaried,0
801,49746,21,Salaried,1
603,34235,14,Self-Employed,0
662,23734,28,Salaried,1
568,13500,19,Salaried,0
827,12889,0,Salaried,0
767,39735,24,Salaried,1
790,8028,22,Self-Employed,1
745,27668,8,Self-Employed,1
518,9879,23,Salaried,0
785,30915,8,Self-Employed,1
739,8973,0,Salaried,0
645,42463,8,Salaried,0
397,35746,17,Self-Employed,0
483,43792,23,Salaried,0
364,9972,9,Salaried,0
306,7800,17,Self-Employed,0
308,11656,2,Self-Employed,0
